TaskID,TaskLink,ChallengeID,ChallengeLink,TaskName,TaskStatus,TaskPriority,MappedOn,CompletionTime,Mapper,ReviewStatus,Reviewer,ReviewedAt,ReviewTimeSeconds,AdditionalReviewers,Comments,BundleId,IsBundlePrimary,Tags
120115388,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115388]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2631946","Not_An_Issue","High",2021-11-14T18:10:14.590+01:00,60179,"Thibault Rommel",,"",,"","","Thibault Rommel: fietspad waarop B1 betrekking heeft is niet gemapt","","",""
120115389,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115389]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2632609","Fixed","High",2021-11-14T18:08:49.908+01:00,120453,"Thibault Rommel",,"",,"","","","","",""
120115390,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115390]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2633929","Fixed","High",2021-11-15T18:35:41.902+01:00,289414,"Thibault Rommel",,"",,"","","","","",""
120115391,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115391]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2635225","Already_Fixed","High",2021-11-14T18:56:42.446+01:00,25350,"Thibault Rommel",,"",,"","","","","",""
120115392,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115392]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2635466","Fixed","High",2021-11-14T18:32:59.742+01:00,39275,"Thibault Rommel",,"",,"","","","","",""
120115393,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115393]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2635698","Fixed","High",2021-11-14T18:41:58.816+01:00,42574,"Thibault Rommel",,"",,"","","","","",""
120115394,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115394]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2635824","Already_Fixed","High",2021-11-14T18:47:57.872+01:00,42967,"Thibault Rommel",,"",,"","","","","",""
120115395,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115395]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2636459","Fixed","High",2021-11-15T22:15:18.035+01:00,43157,"joost schouppe",,"",,"","","","","",""
120115396,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115396]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2636645","Not_An_Issue","High",2021-11-14T19:01:03.983+01:00,26728,"Thibault Rommel",,"",,"","","Thibault Rommel: slaat op fietspad dat niet gemapt is","","",""
120115397,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115397]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2636648","Not_An_Issue","High",2021-11-14T19:02:17.068+01:00,23409,"Thibault Rommel",,"",,"","","Thibault Rommel: slaat op fietspad dat niet gemapt is","","",""
120115398,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115398]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2636730","Fixed","High",2021-11-14T18:58:46.463+01:00,123864,"Thibault Rommel",,"",,"","","","","",""
120115399,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115399]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2636734","Already_Fixed","High",2021-11-14T18:59:40.367+01:00,53669,"Thibault Rommel",,"",,"","","","","",""
120115400,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115400]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2636847","Fixed","High",2021-11-14T19:17:53.818+01:00,38398,"Thibault Rommel",,"",,"","","","","",""
120115401,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115401]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2636995","Not_An_Issue","High",2021-11-14T19:01:53.502+01:00,49326,"Thibault Rommel",,"",,"","","Thibault Rommel: slaat op fietspad dat niet gemapt is","","",""
120115402,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115402]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2636998","Not_An_Issue","High",2021-11-14T19:00:37.083+01:00,56529,"Thibault Rommel",,"",,"","","Thibault Rommel: slaat op fietspad dat niet gemapt is","","",""
120115403,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115403]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2637280","Fixed","High",2021-11-14T19:29:01.438+01:00,173297,"Thibault Rommel",,"",,"","","","","",""
120115404,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115404]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2637800","Fixed","High",2021-11-14T18:54:58.432+01:00,99968,"Thibault Rommel",,"",,"","","","","",""
120115405,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115405]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2637801","Fixed","High",2021-11-14T18:56:16.917+01:00,78354,"Thibault Rommel",,"",,"","","","","",""
120115410,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115410]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2638039","Fixed","High",2021-11-14T16:45:29.129+01:00,4557,"Thibault Rommel",,"",,"","","","","",""
120115409,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115409]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2637946","Fixed","High",2021-11-17T13:29:44.810+01:00,33101,"joost schouppe",,"",,"","","","","",""
120115406,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115406]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2637910","Fixed","High",2021-11-14T16:44:04.992+01:00,45549,"Thibault Rommel",,"",,"","","","","",""
120115407,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115407]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2637912","Fixed","High",2021-11-14T16:42:07.995+01:00,35754,"Thibault Rommel",,"",,"","","","","",""
120115408,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115408]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2637927","Fixed","High",2021-11-14T16:45:15.821+01:00,70698,"Thibault Rommel",,"",,"","","","","",""
120115412,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115412]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2638570","Fixed","High",2021-11-14T16:58:31.370+01:00,157207,"joost schouppe",,"",,"","","","","",""
120115413,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115413]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2638653","Fixed","High",2021-11-14T16:41:32.063+01:00,297290,"Thibault Rommel",,"",,"","","","","",""
120115414,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115414]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2630146","Fixed","High",2021-11-14T17:29:10.037+01:00,43228,"Thibault Rommel",,"",,"","","","","",""
120115411,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115411]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2638089","Fixed","High",2021-11-17T13:30:10.152+01:00,19696,"joost schouppe",,"",,"","","","","",""
120115418,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115418]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2600760","Fixed","High",2021-11-14T22:01:35.206+01:00,66492,"Thibault Rommel",,"",,"","","","","",""
120115417,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115417]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2638146","Fixed","High",2021-11-17T13:33:26.252+01:00,195942,"joost schouppe",,"",,"","","","","",""
120115415,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115415]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2630195","Fixed","High",2021-11-15T12:03:28.670+01:00,504689,"joost schouppe",,"",,"","","","","",""
