bordId;xcoord_v2;ycoord_v2;bordcode;parameters_v2;name
2631847;69096,4675000012;212183,232500002;F111; ;Bicycle road
2631864;69212,813699998;212143,6875;F111; ;Bicycle road
2631888;69334,8660999984;212220,4745;F111; ;Bicycle road
2631890;69355,813699998;212240,1875;F111; ;Bicycle road
2631981;69447,7924999967;212434,368900001;F111; ;Bicycle road
2631992;69737,7651000023;212747,871100001;F111; ;Bicycle road
2631993;69716,2924999967;212738,712499999;F111; ;Bicycle road
2631994;69688,2924999967;212690,837499999;F111; ;Bicycle road
2631996;69666,5910999998;212683,4595;F111; ;Bicycle road
2632002;69632,2924999967;212642,462499999;F111; ;Bicycle road
2632005;69656,0424999967;212653,712499999;F111; ;Bicycle road
2632007;69568,5424999967;212569,462499999;F111; ;Bicycle road
2632008;69588,5424999967;212576,587499999;F111; ;Bicycle road
2635825;105708,871100001;191332,668099999;F111; ;Bicycle road
2624246;158090,130099997;209980,200100001;F12a; ;Living street
2629015;207048,2601;199517,2401;F12a; ;Living street
2637901;77141,9800999984;174453,430100001;F12a; ;Living street
2637928;76970,9800999984;174307,290100001;F12a; ;Living street
2638030;77007,7300999984;174173,620099999;F12a; ;Living street
2629012;207049,2601;199505,9901;F12b; ;End of Living street
2635457;102565,460500002;193969,520500001;F12b; ;End of Living street
2635480;102478,103100002;194113,2663;F12b; ;End of Living street
2637742;102478,103100002;194113,2663;F12b; ;End of Living street
2637902;77140,9301000014;174433,410100002;F12b; ;End of Living street
2637926;76975,2300999984;174313,5101;F12b; ;End of Living street
2638038;77001,4900999963;174178,2601;F12b; ;End of Living street
2600758;30749,3751000017;200536,375100002;F19; ;One-way street
2626456;173908,625100002;182582,906300001;F19; ;One-way street
2627117;176752,271899998;181922,210299999;F19; ;One-way street
2627126;175975,146899998;183732,335299999;F19; ;One-way street
2627128;176006,521899998;183848,897700001;F19; ;One-way street
2627130;176006,521899998;183844,147700001;F19; ;One-way street
2627167;176090,8345;183843,085299999;F19; ;One-way street
2627349;174845,250100002;182674,968699999;F19; ;One-way street
2628435;176597,781300001;181929,4375;F19; ;One-way street
2633449;88202,8300999999;202500,450100001;F19; ;One-way street
2633702;88167,813699998;202513,586300001;F19; ;One-way street
2633814;88131,2512999997;202516,523699999;F19; ;One-way street
2633825;88029,063699998;202522,398699999;F19; ;One-way street
2637791;107421,463699996;191509,5645;F19; ;One-way street
2637925;77013,9900999963;174285,820099998;F19; ;One-way street
2638023;77061,7000999972;174247,480099998;F19; ;One-way street
2638032;77007,7300999984;174173,620099999;F19; ;One-way street
2621934;250062,375100002;161394,750100002;F45;Geen;No exit
2625305;41872,7968999967;209876,484499998;F45;Geen;No exit
2627735;49254,1850999966;167253,000100002;F45;Geen;No exit
2627738;49224,1850999966;167348,500100002;F45;Geen;No exit
2628336;82236,0100999996;193106,883099999;F45;Geen;No exit
2628405;82653,320100002;192754,840100002;F45;Geen;No exit
2628611;31542,9201000035;197682,250100002;F45;Geen;No exit
2629014;207048,2601;199517,2401;F45;Geen;No exit
2629046;81526,9100999981;192321,5601;F45;Geen;No exit
2629359;80022,5301000029;197373,930100001;F45;Geen;No exit
2629394;79369,2201000005;197220,020100001;F45;Geen;No exit
2630184;82680,2000999972;193315,160100002;F45;Geen;No exit
2630206;80940,6600999981;196078,680100001;F45;Geen;No exit
2630360;79819,620099999;195300,700100001;F45;Geen;No exit
2637301;156759,770099998;229832,270100001;F45;Geen;No exit
2627678;81956,9301000014;192346,550099999;F45b; ;"No exit; except for bicycle"
2627712;82136,9100999981;192466,190099999;F45b; ;"No exit; except for bicycle"
2628324;81887,7960999981;192909,347100001;F45b; ;"No exit; except for bicycle"
2628425;82577,7700999975;192757,430100001;F45b; ;"No exit; except for bicycle"
2628478;82601,6771000028;193043,439100001;F45b; ;"No exit; except for bicycle"
2629067;80758,7880999967;196618,498100001;F45b; ;"No exit; except for bicycle"
2629999;85184,7290999964;193257,586100001;F45b; ;"No exit; except for bicycle"
2630926;151752,460100003;226975,0801;F45b; ;"No exit; except for bicycle"
2631662;69129,0324999988;211916,8125;F45b; ;"No exit; except for bicycle"
2633110;70513,3751000017;210868,0625;F45b; ;"No exit; except for bicycle"
2636838;159601,000100002;205408,790100001;F45b; ;"No exit; except for bicycle"
2637893;77147,620099999;174467,430100001;F45b; ;"No exit; except for bicycle"
2638020;77067,3800999969;174236,1701;F45b; ;"No exit; except for bicycle"
2638776;81038,1900999993;175940,840100002;F45b; ;"No exit; except for bicycle"
2638782;80669,8000999987;175808,0801;F45b; ;"No exit; except for bicycle"
2628885;157548,870099999;209411,3101;F49; ;Pedestrian crossing
2628917;157367,060099997;209575,020100001;F49; ;Pedestrian crossing
2638758;211239,910099998;200750,380100001;F49; ;Pedestrian crossing
2638765;210628,8301;200374,370099999;F49; ;Pedestrian crossing
2638766;210660,800099999;200422,160100002;F49; ;Pedestrian crossing
2624742;158057,520099998;210323,980099998;F4a; ;Speed limit zone
2624743;158054,130099997;210324,820099998;F4a; ;Speed limit zone
2624907;149440,250100002;224934,890700001;F4a; ;Speed limit zone
2629750;31368,2501000017;197672,280099999;F4a; ;Speed limit zone
2635531;102676,028099999;196286,0471;F4a; ;Speed limit zone
2635710;103526,467100002;187607,3631;F4a; ;Speed limit zone
2635718;104365,867700003;189099,614700001;F4a; ;Speed limit zone
2635909;109027,549099997;191247,130100001;F4a; ;Speed limit zone
2635944;107386,189099997;191471,283300001;F4a; ;Speed limit zone
2636812;222954,000100002;202771,750100002;F4a; ;Speed limit zone
2636814;222944,750100002;202771,000100002;F4a; ;Speed limit zone
2637806;107486,4023;191377,228500001;F4a; ;Speed limit zone
2637824;107386,189099997;191471,283300001;F4a; ;Speed limit zone
2628621;31363,5900999978;197670,450100001;F4b; ;End of speed limit zone
2635700;104361,646899998;189090,270300001;F4b; ;End of speed limit zone
2635765;103517,305100001;187620,5931;F4b; ;End of speed limit zone
2635928;109025,145900004;191236,2947;F4b; ;End of speed limit zone
2636813;222947,500100002;202768,625100002;F4b; ;End of speed limit zone
2636815;222942,250100002;202777,625100002;F4b; ;End of speed limit zone
2637803;107454,078900002;191398,818300001;F4b; ;End of speed limit zone
2637812;107371,156499997;191471,500300001;F4b; ;End of speed limit zone
2629588;235300,890699998;204026,2031;F50; ;Bicycle crossing
2630014;82580,2391000018;193488,3171;F50; ;Bicycle crossing
2630079;79763,5900999978;194782,070099998;F50; ;Bicycle crossing
2630088;79802,4601000026;194791,8301;F50; ;Bicycle crossing
2632703;235300,890699998;204026,2031;F50; ;Bicycle crossing
2628583;31519,2901000008;197666,7601;F87; ;Speed bump
2628601;31558,820100002;197669,590100002;F87; ;Speed bump
2628609;31538,6801000014;197689,340100002;F87; ;Speed bump
2628622;31363,5900999978;197670,450100001;F87; ;Speed bump
2629753;31376,570100002;197676,780099999;F87; ;Speed bump
2638442;51409,5375000015;191979,7313;F87; ;Speed bump
2622163;250423,125100002;161017,125100002;F99c; ;"Access only for pedestrians; cyclists; horses and agricultural"
2637294;156851,540100001;229886,460099999;F99c; ;"Access only for pedestrians; cyclists; horses and agricultural"
2635607;104806,225500003;196497,0035;M1; ;Only for bicycles
2630407;79041,5600999966;196189,590100002;M4; ;Not oneway for bicycles
